file	pckfgs	classes	methods
F:\ALIFE\javancss\out\2018-05-04-AndroidV2-31_android_lite.txt	3	7	19
F:\ALIFE\javancss\out\2018-05-04-AndroidV2-32_blackberry_full.txt	1	3	5
F:\ALIFE\javancss\out\2018-05-04-AndroidV2-32_blackberry_lite.txt	3	7	19
F:\ALIFE\javancss\out\2018-05-04-AndroidV2-34_library_common_and.txt	10	15	84
F:\ALIFE\javancss\out\2018-05-04-AndroidV2-34_library_google_maps.txt	1	3	16
F:\ALIFE\javancss\out\2018-05-04-AndroidV2-34_library_web_maps.txt	1	4	29
F:\ALIFE\javancss\out\2018-05-11-AndroidV2-30_project.txt	65	307	3117
F:\ALIFE\javancss\out\2018-05-11-AndroidV2-30_project_alpha.txt	22	58	436
F:\ALIFE\javancss\out\2018-05-11-AndroidV2-31_android_demo.txt	1	3	7
F:\ALIFE\javancss\out\2018-05-11-AndroidV2-31_android_full.txt	1	3	6
F:\ALIFE\javancss\out\2018-05-11-AndroidV2-31_android_lite.txt	3	7	19
F:\ALIFE\javancss\out\2018-05-11-AndroidV2-32_blackberry_full.txt	1	3	5
F:\ALIFE\javancss\out\2018-05-11-AndroidV2-32_blackberry_lite.txt	3	7	19
F:\ALIFE\javancss\out\2018-05-11-AndroidV2-34_library_common_and.txt	10	19	92
F:\ALIFE\javancss\out\2018-05-11-AndroidV2-34_library_facebook.txt	5	72	1024
F:\ALIFE\javancss\out\2018-05-11-AndroidV2-34_library_google_maps.txt	1	3	16
F:\ALIFE\javancss\out\2018-05-11-AndroidV2-34_library_web_maps.txt	1	4	29
F:\ALIFE\javancss\out\2018-05-18-AndroidV2-30_project.txt	65	317	3255
F:\ALIFE\javancss\out\2018-05-18-AndroidV2-30_project_alpha.txt	20	67	453
F:\ALIFE\javancss\out\2018-05-18-AndroidV2-31_android_demo.txt	1	3	6
F:\ALIFE\javancss\out\2018-05-18-AndroidV2-31_android_full.txt	1	3	5
F:\ALIFE\javancss\out\2018-05-18-AndroidV2-31_android_lite.txt	4	8	21
F:\ALIFE\javancss\out\2018-05-18-AndroidV2-32_blackberry_full.txt	1	3	5
F:\ALIFE\javancss\out\2018-05-18-AndroidV2-32_blackberry_lite.txt	3	7	19
F:\ALIFE\javancss\out\2018-05-18-AndroidV2-34_library_common_and.txt	9	19	92
F:\ALIFE\javancss\out\2018-05-18-AndroidV2-34_library_facebook.txt	5	72	1024
F:\ALIFE\javancss\out\2018-05-18-AndroidV2-34_library_google_maps.txt	1	3	16
F:\ALIFE\javancss\out\2018-05-18-AndroidV2-34_library_google_maps2.txt	0	0	0
F:\ALIFE\javancss\out\2018-05-18-AndroidV2-34_library_web_maps.txt	1	4	29
F:\ALIFE\javancss\out\2018-05-25-AndroidV2-30_project.txt	66	318	3278
F:\ALIFE\javancss\out\2018-05-25-AndroidV2-30_project_alpha.txt	18	66	476
