file	NTypes	NAbstractTypes	NbLinesOfCodeInAsm	NbLinesOfCommentInAsm
/Users/luka/ALIFE/out_ios2018-04-20-A-Life-A-life.xcodeproj.out/XmlFilesUsedToBuildReport/ProjectsMetrics.xml	253	23	17821	4930
/Users/luka/ALIFE/out_ios2018-04-27-A-Life-A-life.xcodeproj.out/XmlFilesUsedToBuildReport/ProjectsMetrics.xml	258	25	18179	4975
/Users/luka/ALIFE/out_ios2018-05-04-A-Life-A-life.xcodeproj.out/XmlFilesUsedToBuildReport/ProjectsMetrics.xml	262	24	18265	5072
/Users/luka/ALIFE/out_ios2018-05-11-A-Life-A-life.xcodeproj.out/XmlFilesUsedToBuildReport/ProjectsMetrics.xml	280	27	19537	5297
/Users/luka/ALIFE/out_ios2018-05-18-A-Life-A-life.xcodeproj.out/XmlFilesUsedToBuildReport/ProjectsMetrics.xml	290	26	20791	5452
/Users/luka/ALIFE/out_ios2018-05-25-A-Life-A-life.xcodeproj.out/XmlFilesUsedToBuildReport/ProjectsMetrics.xml	280	26	19210	5245
/Users/luka/ALIFE/out_ios2018-06-01-A-Life-A-life.xcodeproj.out/XmlFilesUsedToBuildReport/ProjectsMetrics.xml	282	27	19640	5170
/Users/luka/ALIFE/out_ios2018-06-08-A-Life-A-life.xcodeproj.out/XmlFilesUsedToBuildReport/ProjectsMetrics.xml	0	0	0	0
/Users/luka/ALIFE/out_ios2018-06-15-A-Life-A-life.xcodeproj.out/XmlFilesUsedToBuildReport/ProjectsMetrics.xml	283	28	19986	5360
/Users/luka/ALIFE/out_ios2018-06-22-A-Life-A-life.xcodeproj.out/XmlFilesUsedToBuildReport/ProjectsMetrics.xml	285	27	20318	5439
/Users/luka/ALIFE/out_ios2018-06-29-A-Life-A-life.xcodeproj.out/XmlFilesUsedToBuildReport/ProjectsMetrics.xml	285	27	20347	5434
/Users/luka/ALIFE/out_ios2018-07-06-A-Life-A-life.xcodeproj.out/XmlFilesUsedToBuildReport/ProjectsMetrics.xml	263	26	19110	4896
/Users/luka/ALIFE/out_ios2018-07-13-A-Life-A-life.xcodeproj.out/XmlFilesUsedToBuildReport/ProjectsMetrics.xml	264	26	18944	4885
/Users/luka/ALIFE/out_ios2018-07-20-A-Life-A-life.xcodeproj.out/XmlFilesUsedToBuildReport/ProjectsMetrics.xml	264	26	18945	4628
/Users/luka/ALIFE/out_ios2018-07-27-A-Life-A-life.xcodeproj.out/XmlFilesUsedToBuildReport/ProjectsMetrics.xml	264	26	18945	4628
/Users/luka/ALIFE/out_ios2018-08-03-A-Life-A-life.xcodeproj.out/XmlFilesUsedToBuildReport/ProjectsMetrics.xml	264	26	18945	4628
