file 	lang 	files 	blanks 	comments 	code
F:\ALIFE\cloc\2017-08-25.scv	CSS	93	7209	2524	31572
F:\ALIFE\cloc\2017-08-25.scv	Visualforce Component	13	0	0	118
F:\ALIFE\cloc\2017-08-25.scv	Bourne Shell	6	36	19	91
F:\ALIFE\cloc\2017-08-25.scv	JSP	136	2512	2143	12832
F:\ALIFE\cloc\2017-08-25.scv	Ant	19	141	1	725
F:\ALIFE\cloc\2017-08-25.scv	XSD	7	203	3	1876
F:\ALIFE\cloc\2017-08-25.scv	HTML	371	249	13440	67158
F:\ALIFE\cloc\2017-08-25.scv	Objective C	176	8028	6194	22918
F:\ALIFE\cloc\2017-08-25.scv	Velocity Template Language	29	248	1	1269
F:\ALIFE\cloc\2017-08-25.scv	MXML	1	6	0	47
F:\ALIFE\cloc\2017-08-25.scv	SQL	51	15579	5482	53654
F:\ALIFE\cloc\2017-08-25.scv	C/C++ Header	372	4336	8779	11291
F:\ALIFE\cloc\2017-08-25.scv	XML	262	2164	669	74685
F:\ALIFE\cloc\2017-08-25.scv	Javascript	45	2640	8844	15801
F:\ALIFE\cloc\2017-08-25.scv	DOS Batch	24	167	16	605
F:\ALIFE\cloc\2017-08-25.scv	JavaServer Faces	4	10	0	140
F:\ALIFE\cloc\2017-08-25.scv	ActionScript	1	28	4	152
F:\ALIFE\cloc\2017-09-01-AndroidV2-30_project.scv	Java	191	4961	3081	18933
F:\ALIFE\cloc\2017-09-01-AndroidV2-30_project.scv	XML	116	1265	315	9248
F:\ALIFE\cloc\2017-09-01.scv	Java	666	17078	15890	53748
F:\ALIFE\cloc\2017-09-01.scv	CSS	99	7463	2585	32728
F:\ALIFE\cloc\2017-09-01.scv	Visualforce Component	13	0	0	118
F:\ALIFE\cloc\2017-09-01.scv	Bourne Shell	6	36	19	91
F:\ALIFE\cloc\2017-09-01.scv	JSP	136	2512	2143	12832
F:\ALIFE\cloc\2017-09-01.scv	Ant	19	141	1	725
F:\ALIFE\cloc\2017-09-01.scv	XSD	7	203	3	1876
F:\ALIFE\cloc\2017-09-01.scv	HTML	1224	17011	16458	287956
F:\ALIFE\cloc\2017-09-01.scv	Objective C	218	10163	8440	29970
F:\ALIFE\cloc\2017-09-01.scv	Velocity Template Language	29	248	1	1269
F:\ALIFE\cloc\2017-09-01.scv	Perl	1	7	0	105
F:\ALIFE\cloc\2017-09-01.scv	MXML	1	6	0	47
F:\ALIFE\cloc\2017-09-01.scv	SQL	51	15579	5482	53654
F:\ALIFE\cloc\2017-09-01.scv	C/C++ Header	411	4745	9449	12218
F:\ALIFE\cloc\2017-09-01.scv	XML	260	2164	632	74432
F:\ALIFE\cloc\2017-09-01.scv	Javascript	50	2738	8928	17342
F:\ALIFE\cloc\2017-09-01.scv	DOS Batch	24	167	16	605
F:\ALIFE\cloc\2017-09-01.scv	JavaServer Faces	4	10	0	140
F:\ALIFE\cloc\2017-09-01.scv	ActionScript	1	28	4	152
F:\ALIFE\cloc\2017-09-08-AndroidV2-30_project.scv	Java	191	4962	3089	18933
F:\ALIFE\cloc\2017-09-08-AndroidV2-30_project.scv	XML	117	1267	315	9262
F:\ALIFE\cloc\2017-09-08.scv	Java	666	17079	15898	53748
F:\ALIFE\cloc\2017-09-08.scv	CSS	99	7463	2585	32728
F:\ALIFE\cloc\2017-09-08.scv	Visualforce Component	13	0	0	118
F:\ALIFE\cloc\2017-09-08.scv	Bourne Shell	6	36	19	91
F:\ALIFE\cloc\2017-09-08.scv	JSP	136	2512	2143	12832
F:\ALIFE\cloc\2017-09-08.scv	Ant	19	141	1	725
F:\ALIFE\cloc\2017-09-08.scv	XSD	7	203	3	1876
F:\ALIFE\cloc\2017-09-08.scv	HTML	1224	17011	16458	287956
F:\ALIFE\cloc\2017-09-08.scv	Objective C	218	10153	8353	29980
F:\ALIFE\cloc\2017-09-08.scv	Velocity Template Language	29	248	1	1269
F:\ALIFE\cloc\2017-09-08.scv	Perl	1	7	0	105
F:\ALIFE\cloc\2017-09-08.scv	MXML	1	6	0	47
F:\ALIFE\cloc\2017-09-08.scv	SQL	51	15579	5482	53654
F:\ALIFE\cloc\2017-09-08.scv	C/C++ Header	411	4745	9453	12225
F:\ALIFE\cloc\2017-09-08.scv	XML	261	2166	632	74446
F:\ALIFE\cloc\2017-09-08.scv	Javascript	50	2738	8928	17342
F:\ALIFE\cloc\2017-09-08.scv	DOS Batch	24	167	16	605
F:\ALIFE\cloc\2017-09-08.scv	JavaServer Faces	4	10	0	140
F:\ALIFE\cloc\2017-09-08.scv	ActionScript	1	28	4	152
F:\ALIFE\cloc\2017-09-15-AndroidV2-30_project.scv	Java	197	5115	3291	19762
F:\ALIFE\cloc\2017-09-15-AndroidV2-30_project.scv	XML	135	1344	320	9867
F:\ALIFE\cloc\2017-09-15.scv	Java	672	17232	16100	54577
F:\ALIFE\cloc\2017-09-15.scv	CSS	99	7463	2585	32728
F:\ALIFE\cloc\2017-09-15.scv	Visualforce Component	13	0	0	118
F:\ALIFE\cloc\2017-09-15.scv	Bourne Shell	6	36	19	91
F:\ALIFE\cloc\2017-09-15.scv	JSP	136	2512	2143	12832
F:\ALIFE\cloc\2017-09-15.scv	Ant	19	141	1	725
F:\ALIFE\cloc\2017-09-15.scv	XSD	7	203	3	1876
F:\ALIFE\cloc\2017-09-15.scv	HTML	1225	17011	16462	288040
F:\ALIFE\cloc\2017-09-15.scv	Objective C	252	11162	9402	32368
F:\ALIFE\cloc\2017-09-15.scv	Velocity Template Language	29	248	1	1269
F:\ALIFE\cloc\2017-09-15.scv	Perl	1	7	0	105
F:\ALIFE\cloc\2017-09-15.scv	MXML	1	6	0	47
F:\ALIFE\cloc\2017-09-15.scv	SQL	51	15579	5482	53654
F:\ALIFE\cloc\2017-09-15.scv	C/C++ Header	465	5638	11495	14686
F:\ALIFE\cloc\2017-09-15.scv	XML	279	2243	637	75051
F:\ALIFE\cloc\2017-09-15.scv	Javascript	50	2738	8928	17342
F:\ALIFE\cloc\2017-09-15.scv	DOS Batch	24	167	16	605
F:\ALIFE\cloc\2017-09-15.scv	JavaServer Faces	4	10	0	140
F:\ALIFE\cloc\2017-09-15.scv	ActionScript	1	28	4	152
F:\ALIFE\cloc\2017-09-22-AndroidV2-30_project.scv	Java	207	5475	3393	21255
F:\ALIFE\cloc\2017-09-22-AndroidV2-30_project.scv	XML	142	1404	354	10512
F:\ALIFE\cloc\2017-09-22.scv	Java	683	17623	16206	56238
F:\ALIFE\cloc\2017-09-22.scv	CSS	99	7463	2585	32728
F:\ALIFE\cloc\2017-09-22.scv	Visualforce Component	13	0	0	118
F:\ALIFE\cloc\2017-09-22.scv	Bourne Shell	6	36	19	91
F:\ALIFE\cloc\2017-09-22.scv	JSP	136	2512	2143	12832
F:\ALIFE\cloc\2017-09-22.scv	Ant	19	141	1	725
F:\ALIFE\cloc\2017-09-22.scv	XSD	7	203	3	1876
F:\ALIFE\cloc\2017-09-22.scv	HTML	1225	17011	16462	288040
F:\ALIFE\cloc\2017-09-22.scv	Objective C	252	11241	9509	32666
F:\ALIFE\cloc\2017-09-22.scv	Velocity Template Language	29	248	1	1269
F:\ALIFE\cloc\2017-09-22.scv	Perl	1	7	0	105
F:\ALIFE\cloc\2017-09-22.scv	MXML	1	6	0	47
F:\ALIFE\cloc\2017-09-22.scv	SQL	51	15579	5482	53654
F:\ALIFE\cloc\2017-09-22.scv	C/C++ Header	466	5661	11509	14743
F:\ALIFE\cloc\2017-09-22.scv	XML	289	2303	673	88898
F:\ALIFE\cloc\2017-09-22.scv	Javascript	50	2738	8928	17342
F:\ALIFE\cloc\2017-09-22.scv	DOS Batch	24	167	16	605
F:\ALIFE\cloc\2017-09-22.scv	JavaServer Faces	4	10	0	140
F:\ALIFE\cloc\2017-09-22.scv	ActionScript	1	28	4	152
F:\ALIFE\cloc\2017-09-29-AndroidV2-30_project.scv	Java	208	5571	3372	22280
F:\ALIFE\cloc\2017-09-29-AndroidV2-30_project.scv	XML	144	1409	357	10821
F:\ALIFE\cloc\2017-09-29.scv	Java	684	17719	16185	57263
F:\ALIFE\cloc\2017-09-29.scv	CSS	104	7477	2585	32869
F:\ALIFE\cloc\2017-09-29.scv	Visualforce Component	13	0	0	118
F:\ALIFE\cloc\2017-09-29.scv	Bourne Shell	6	36	19	91
F:\ALIFE\cloc\2017-09-29.scv	JSP	136	2512	2143	12832
F:\ALIFE\cloc\2017-09-29.scv	Ant	19	141	1	725
F:\ALIFE\cloc\2017-09-29.scv	XSD	7	203	3	1876
F:\ALIFE\cloc\2017-09-29.scv	HTML	1227	17017	16462	288080
F:\ALIFE\cloc\2017-09-29.scv	Objective C	253	11255	9443	32715
