File,Total Time,Coding %,Debugging %,Testing %,FC% Flow Complexity,OV% Object Vocabulary,OC% Object Conjuration,AI% Arithmetic Intricacy,DT% Data Transfer,ID% Inline Data,CS% Code Structure,CM% Comments,CCR Code to Comment Ratio,ECF Essential Comment Factor,CSM Code Structure Modularity,LD Logic Density,SDE Source Divergence Entropy,IDF Information Diversity Factor,OCF Object Convolution Factor,LLOC Logical Lines of Code,Multi Line Comments,Single Line Comments,High Quality Comments,Strings,Numeric Constants,Code Nature,Quality Notes Count,Quality Notes Detail,
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\calendar\CalendarViewProvider.java,3,54,28,19,0,79,13,0,3,0,5,0,0,0,106,10,15,100,22,9,0,0,0,0,0,Normal,0,
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\calendar\ExtendedMonthDisplayHelper.java,31,43,35,22,39,23,18,7,6,0,6,0,6,17,153,69,63,507,33,77,2,3,5,0,25,Algorithmic Oriented,1,* Needs more comments. 
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\calendar\view\CalendarMonthView.java,27,47,32,21,22,45,18,0,7,0,7,0,1,3,157,31,38,253,27,82,0,1,1,1,2,Normal,1,* Needs more comments. 
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\core\AlifeMobileApplication.java,3,52,29,19,5,67,12,0,5,0,10,2,45,100,202,0,34,105,16,10,3,2,5,0,0,Normal,1,* Code structure may be too fragmented. 
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\core\CompilePreferences.java,4,53,28,19,0,67,23,0,4,1,4,0,12,66,34,81,14,212,31,15,0,3,2,3,9,Normal,0,
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\core\ComponentManager.java,52,42,36,22,49,28,13,0,5,0,4,0,20,63,121,49,50,284,25,118,22,2,24,1,0,Data Manipulation Oriented,0,
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\core\configuration\ConfigurationImpl.java,15,47,33,21,24,47,17,0,5,0,6,0,4,11,150,22,39,230,26,44,0,2,2,2,1,Normal,1,* Needs more comments. 
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\core\configuration\IntentFactory.java,7,42,36,22,48,34,10,0,2,0,7,0,0,0,243,40,36,172,20,14,0,0,0,0,0,Data Manipulation Oriented,0,
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\core\Configuration.java,5,54,28,18,0,84,7,0,4,0,4,0,12,66,39,18,28,51,10,15,1,1,2,0,3,Normal,0,
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\core\InitialAction.java,1,55,27,18,0,83,7,0,1,0,9,0,0,0,155,0,7,44,10,3,0,0,0,0,0,Normal,0,
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\dailytips\DailyTipComponent.java,2,50,31,19,19,66,7,0,2,0,6,0,20,50,118,0,22,63,14,4,1,0,1,0,0,Normal,0,
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\dailytips\DailyTipComponentImpl.java,46,45,33,21,31,38,18,1,7,0,6,0,0,0,112,53,44,301,31,117,0,0,0,0,12,Normal,1,* Needs more comments. 
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\dailytips\util\DailyTipClickListener.java,1,55,27,18,0,87,5,0,1,0,7,0,0,0,165,0,12,33,10,3,0,0,0,0,0,Normal,0,
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\dailytips\util\DailyTipDialogBuilder.java,7,51,30,20,10,62,14,0,4,0,9,0,0,0,234,15,29,141,25,18,0,0,0,0,0,Normal,1,* Code structure may be too fragmented. 
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\dailytips\util\DailyTipTask.java,3,53,29,18,2,76,9,2,3,0,8,0,0,0,218,12,27,71,18,7,0,0,0,0,0,Normal,1,* Code structure may be too fragmented. 
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\dailytips\util\DailyTipViewProvider.java,29,47,33,21,22,42,22,0,7,0,7,0,0,0,124,39,40,326,34,83,0,0,0,0,1,Normal,1,* Needs more comments. 
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\dailytips\vao\DailyTip.java,28,41,37,22,46,23,17,4,5,0,5,0,8,24,138,75,44,457,29,71,0,7,6,1,13,Data Manipulation Oriented,1,* Needs more comments. 
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\dashboard\activities\DashboardActivity.java,36,48,31,21,20,50,16,0,7,0,7,0,0,0,140,28,35,204,25,103,0,0,0,7,1,Normal,1,* Needs more comments. 
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\dashboard\activities\DashboardIntentFactory.java,126,45,33,22,29,28,26,1,8,0,7,0,4,12,142,52,48,573,43,337,6,8,14,21,18,Normal,1,* Needs more comments. 
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\dashboard\activities\MenuItemHandler.java,11,47,33,20,23,49,16,1,5,0,6,0,3,11,127,28,39,197,28,27,1,0,1,2,0,Normal,1,* Needs more comments. 
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\dashboard\activities\PortalDialog.java,7,53,28,19,0,73,13,0,6,0,8,0,0,0,197,15,27,107,21,19,0,0,0,1,0,Normal,1,* Code structure may be too fragmented. 
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\dashboard\activities\ProgressTabsActivity.java,21,50,30,20,9,59,18,0,7,0,6,0,6,20,132,36,37,191,34,48,0,3,3,1,3,Normal,1,* Needs more comments. 
C:\Users\Luka\Desktop\New folder\30_project\src\si\alife\mobile\dashboard\activities\SingleTransferTask.java,19,47,32,21,25,47,14,0,5,0,8,0,18,43,191,32,34,191,23,54,0,10,10,1,7,Normal,1,* Needs more comments. 
